"provname","year","biweek","time","cases","births","pop","precip_mm","temp_C"
"Prey Veng",2007,2,2007.03846153846,18,952.262923850482,953869.261257155,8.78253415143,27.9537331071429
"Prey Veng",2007,3,2007.07692307692,13,952.724371447009,954420.508816194,0.1190548375355,26.0917952071429
"Prey Veng",2007,4,2007.11538461538,9,953.185819043536,954971.756375234,3.102908230851,28.9411874142858
"Prey Veng",2007,5,2007.15384615385,13,953.647266640063,955523.003934273,8.25128391516,29.6435753142857
"Prey Veng",2007,6,2007.19230769231,16,954.10871423659,956074.251493312,53.6735106544,29.2977866071429
"Prey Veng",2007,7,2007.23076923077,16,954.570161833117,956625.499052352,17.99676498755,30.2612081071429
"Prey Veng",2007,8,2007.26923076923,32,955.027268046848,957176.746611391,54.0995,30.2531772857143
"Prey Veng",2007,9,2007.30769230769,61,955.410570753041,957727.99417043,116.1429,29.3413793142857
"Prey Veng",2007,10,2007.34615384615,132,955.793873459234,958279.24172947,177.7265,28.0412598785715
"Prey Veng",2007,11,2007.38461538462,205,956.177176165427,958830.489288509,72.7511,29.2967650785715
"Prey Veng",2007,12,2007.42307692308,357,956.56047887162,959381.736847548,59.6561,29.6292484214286
"Prey Veng",2007,13,2007.46153846154,428,956.943781577814,959932.984406588,128.1224,27.8283379142857
"Prey Veng",2007,14,2007.5,421,957.327084284007,960484.231965627,122.1856,27.5861968642857
"Prey Veng",2007,15,2007.53846153846,121,957.7103869902,961035.479524666,96.7701,28.2565288071429
"Prey Veng",2007,16,2007.57692307692,182,958.093689696393,961586.727083706,77.276,27.4534244
"Prey Veng",2007,17,2007.61538461538,96,958.476992402586,962137.974642745,114.0147,28.4962127
"Prey Veng",2007,18,2007.65384615385,63,958.860295108779,962689.222201784,97.9319,28.6586278571429
"Prey Veng",2007,19,2007.69230769231,58,959.243597814972,963240.469760824,129.1667,27.8394671
"Prey Veng",2007,20,2007.73076923077,36,959.626900521165,963791.717319863,110.6105,27.6579937428572
"Prey Veng",2007,21,2007.76923076923,21,960.010203227358,964342.964878903,133.4512,27.5810635
"Prey Veng",2007,22,2007.80769230769,16,960.393505933551,964894.212437942,123.2219,26.8572035928572
"Prey Veng",2007,23,2007.84615384615,8,960.776808639744,965445.459996981,56.029396889,26.6057666285715
"Prey Veng",2007,24,2007.88461538462,3,961.160111345937,965996.707556021,10.70526622361,24.8711053928571
"Prey Veng",2007,25,2007.92307692308,4,961.54341405213,966547.95511506,7.93603118687,27.492971
"Prey Veng",2007,26,2007.96153846154,3,961.926716758323,967099.202674099,2.885019927467,27.5077851866667
"Prey Veng",2008,1,2008,2,962.310019464517,967651.856643785,1.518525017648,27.4032257071429
"Prey Veng",2008,2,2008.03846153846,3,962.69332217071,968207.557836539,14.54029622364,28.1154992857143
"Prey Veng",2008,3,2008.07692307692,3,963.076624876903,968763.259029293,2.11670688939,28.5855060071429
"Prey Veng",2008,4,2008.11538461538,2,963.459927583096,969318.960222047,25.166149311778,27.7345654285714
"Prey Veng",2008,5,2008.15384615385,6,963.843230289289,969874.6614148,43.163347179804,27.2692261642857
"Prey Veng",2008,6,2008.19230769231,3,964.226532995482,970430.362607554,15.65450612016,29.13056365
"Prey Veng",2008,7,2008.23076923077,3,964.609835701675,970986.063800308,56.2682,29.5121460571429
"Prey Veng",2008,8,2008.26923076923,2,964.993138407868,971541.764993062,25.7368,30.0934770785714
"Prey Veng",2008,9,2008.30769230769,7,965.376441114061,972097.466185815,68.6669,29.1135642357143
"Prey Veng",2008,10,2008.34615384615,9,965.689000259899,972653.167378569,125.3329,28.3006926
"Prey Veng",2008,11,2008.38461538462,6,965.966187625559,973208.868571323,58.2236,28.7315822214286
"Prey Veng",2008,12,2008.42307692308,20,966.243374991219,973764.569764077,78.1349,28.3354128785714
"Prey Veng",2008,13,2008.46153846154,28,966.520562356878,974320.27095683,78.2486,28.7659618142857
"Prey Veng",2008,14,2008.5,24,966.797749722538,974875.972149584,79.036,28.2178236642857
"Prey Veng",2008,15,2008.53846153846,30,967.074937088198,975431.673342338,59.3605,28.7180427357143
"Prey Veng",2008,16,2008.57692307692,22,967.352124453858,975987.374535092,80.8302,27.5398518285714
"Prey Veng",2008,17,2008.61538461538,22,967.629311819518,976543.075727845,99.3635,28.1523955142857
"Prey Veng",2008,18,2008.65384615385,28,967.906499185177,977098.776920599,132.3306,28.3275060785714
"Prey Veng",2008,19,2008.69230769231,35,968.183686550837,977654.478113353,166.1981,27.1743107428572
"Prey Veng",2008,20,2008.73076923077,24,968.460873916497,978210.179306107,85.0678,27.9019104214286
"Prey Veng",2008,21,2008.76923076923,13,968.738061282157,978765.88049886,111.4237,28.2301057142857
"Prey Veng",2008,22,2008.80769230769,25,969.015248647817,979321.581691614,155.7424,27.0828361642857
"Prey Veng",2008,23,2008.84615384615,18,969.292436013477,979877.282884368,83.94826829405,26.4301768285715
"Prey Veng",2008,24,2008.88461538462,13,969.569623379136,980432.984077122,37.317,26.73573215
"Prey Veng",2008,25,2008.92307692308,12,969.846810744796,980988.685269875,3.175289996824,25.8023820785714
"Prey Veng",2008,26,2008.96153846154,8,970.123998110456,981544.386462629,28.6818044344043,26.1276292333334
"Prey Veng",2009,1,2009,6,970.401185476116,982106.000203446,0.5891341574501,24.9515094
"Prey Veng",2009,2,2009.03846153846,2,970.678372841776,982677.749740943,0.5029181714332,25.7478126571429
"Prey Veng",2009,3,2009.07692307692,2,970.955560207435,983249.49927844,7.037971838748,26.5395569857143
"Prey Veng",2009,4,2009.11538461538,2,971.232747573095,983821.248815937,8.108,28.8999592285714
"Prey Veng",2009,5,2009.15384615385,2,971.509934938755,984392.998353434,26.197870907,29.6038611857143
